City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Mahina,-17.5065,-149.489,86.0,62,20,11.5,PF,1612904415
Rikitea,-23.1203,-134.9692,78.28,72,49,7.18,PF,1612903639
Primorsko,42.2667,27.7667,57.2,77,0,4.61,BG,1612904419
Phalombe,-15.8064,35.6507,68.92,92,56,3.18,MW,1612904423
Hermanus,-34.4187,19.2345,64.99,88,1,8.7,ZA,1612903947
Grindavik,63.8424,-22.4338,30.2,100,90,11.5,IS,1612904425
Te Anau,-45.4167,167.7167,47.32,88,99,1.63,NZ,1612904426
George Town,5.4112,100.3354,80.6,89,20,1.14,MY,1612903849
Saint-Pierre,-21.3393,55.4781,80.6,69,20,12.66,RE,1612903954
Castro,-24.7911,-50.0119,67.84,80,100,6.78,BR,1612903850
Zile,40.3031,35.8864,42.8,61,0,3.44,TR,1612904431
Pevek,69.7008,170.3133,-4.22,73,0,1.74,RU,1612904017
Souillac,-20.5167,57.5167,78.8,78,20,5.75,MU,1612904187
Hay River,60.8156,-115.7999,-18.4,69,100,21.85,CA,1612904294
Moscow,55.7522,37.6156,9.0,78,90,15.66,RU,1612904205
Port Alfred,-33.5906,26.891,69.01,92,27,1.01,ZA,1612904050
Mataura,-46.1927,168.8643,49.39,95,100,6.55,NZ,1612904438
Mayo,38.8876,-76.5119,46.99,61,1,3.44,US,1612904006
Bambous Virieux,-20.3428,57.7575,78.8,78,20,5.75,MU,1612903899
Albany,42.6001,-73.9662,28.99,72,100,3.42,US,1612904340
Busselton,-33.65,115.3333,54.0,98,91,11.7,AU,1612904443
Bereda,43.2686,-7.5406,45.0,95,100,8.99,ES,1612904445
Vaini,-21.2,-175.2,80.6,89,90,21.85,TO,1612904446
Kruisfontein,-34.0033,24.7314,66.0,88,0,1.01,ZA,1612904263
Birao,10.2849,22.7882,69.66,22,90,5.23,CF,1612904449
São Joaquim,-28.2939,-49.9317,82.0,31,97,3.98,BR,1612904450
Lodwar,3.1191,35.5973,87.42,36,97,5.41,KE,1612904452
Sisimiut,66.9395,-53.6735,18.54,81,0,3.38,GL,1612904453
Tsumeb,-19.2333,17.7167,68.0,94,100,2.3,NA,1612904454
Cape Town,-33.9258,18.4232,71.01,78,0,24.16,ZA,1612903732
Husavik,66.0449,-17.3389,23.0,93,90,5.46,IS,1612903996
Chui,-33.6971,-53.4616,72.46,75,0,9.1,UY,1612904329
Butaritari,3.0707,172.7902,80.94,83,16,16.33,KI,1612903928
Avarua,-21.2078,-159.775,84.2,74,100,8.05,CK,1612903876
Nikolskoye,59.7035,30.7861,5.0,84,20,2.24,RU,1612903936
São Filipe,14.8961,-24.4956,70.21,75,100,6.82,CV,1612904092
Atuona,-9.8,-139.0333,79.39,75,29,18.59,PF,1612904463
Salinópolis,-0.6136,-47.3561,79.74,86,100,10.94,BR,1612904279
Carnarvon,-24.8667,113.6333,73.4,100,40,19.57,AU,1612904444
Alofi,-19.0595,-169.9187,80.6,89,75,8.05,NU,1612903804
San Javier,37.8063,-0.8374,59.0,82,0,11.5,ES,1612904468
Klaksvík,62.2266,-6.589,28.4,80,94,6.91,FO,1612904099
Bethel,41.3712,-73.414,28.4,86,90,4.61,US,1612903962
Ust-Nera,64.5667,143.2,-6.07,82,32,4.85,RU,1612904269
Bonavista,48.6499,-53.1147,34.0,100,100,14.97,CA,1612904473
Vanderhoof,54.0166,-124.0198,-10.34,86,100,5.55,CA,1612904474
Marzuq,14.4,46.4667,56.84,58,55,6.2,YE,1612904475
Rehnān,32.6846,51.6013,39.2,65,0,2.3,IR,1612904476
Kumul,42.8,93.45,33.55,78,66,5.57,CN,1612904478
Chokurdakh,70.6333,147.9167,-13.14,88,25,3.18,RU,1612903893
Esperance,-33.8667,121.9,59.0,82,0,3.44,AU,1612903903
Araouane,18.9048,-3.5265,71.4,17,41,9.84,ML,1612904481
Puerto del Rosario,28.5004,-13.8627,68.0,68,75,5.75,ES,1612904227
Mayumba,-3.432,10.6554,76.17,86,100,5.14,GA,1612904483
Atlantic City,39.3643,-74.4229,43.0,100,90,9.22,US,1612904485
La Sarre,48.8002,-79.1996,10.42,91,96,2.8,CA,1612904412
Road Town,18.4167,-64.6167,82.4,65,40,12.66,VG,1612904486
Camalú,30.85,-116.0667,59.0,47,100,5.01,MX,1612904488
Bluff,-46.6,168.3333,52.74,85,100,10.96,NZ,1612904279
Bredasdorp,-34.5322,20.0403,64.4,82,11,2.3,ZA,1612904490
Kapaa,22.0752,-159.319,71.6,49,1,21.85,US,1612904491
Lompoc,34.6391,-120.4579,57.0,71,20,7.45,US,1612904231
Ol'ga,43.7444,135.2892,12.13,90,45,8.32,RU,1612904494
Bathurst,-33.4166,149.5806,55.0,88,1,1.99,AU,1612904480
Tanga,-5.0667,39.1,79.27,80,100,11.41,TZ,1612904496
Lebu,-37.6167,-73.65,66.36,69,6,13.09,CL,1612903689
Yining,29.0361,114.5636,50.0,88,100,1.9,CN,1612904498
Dikson,73.5069,80.5464,-29.2,86,97,10.36,RU,1612904499
Batticaloa,7.7102,81.6924,74.48,77,100,9.78,LK,1612904501
Yulara,-25.2406,130.9889,84.2,58,32,5.86,AU,1612904188
Kiryat Gat,31.61,34.7642,62.01,41,0,1.86,IL,1612904503
Grand Gaube,-20.0064,57.6608,77.0,77,7,1.01,MU,1612904458
Pisco,-13.7,-76.2167,78.8,61,0,14.97,PE,1612903996
Glen Allen,37.666,-77.5064,60.01,64,39,3.78,US,1612904283
Lagoa,39.05,-27.9833,61.02,91,100,30.24,PT,1612904232
Mount Isa,-20.7333,139.5,78.8,94,96,6.53,AU,1612904461
Fairbanks,64.8378,-147.7164,-23.8,62,1,3.8,US,1612903974
Deer Lake,49.1667,-57.4316,26.6,80,90,13.8,CA,1612904511
Punta Arenas,-53.15,-70.9167,69.8,52,0,5.75,CL,1612904512
Barrow,71.2906,-156.7887,-29.2,68,1,13.8,US,1612904402
San Luis,-33.295,-66.3356,68.0,77,75,4.61,AR,1612904514
Bay Roberts,47.5999,-53.2648,33.01,85,100,15.01,CA,1612904515
Ketchikan,55.3422,-131.6461,19.4,62,20,6.91,US,1612904517
Walvis Bay,-22.9575,14.5053,66.0,88,57,5.75,NA,1612904518
Srednekolymsk,67.45,153.6833,-14.71,87,0,6.33,RU,1612904399
Hobart,-42.8794,147.3294,53.01,71,20,4.61,AU,1612904338
Ushuaia,-54.8,-68.3,64.4,59,40,4.61,AR,1612904380
Isangel,-19.55,169.2667,81.66,62,0,9.66,VU,1612904523
Sitka,57.0531,-135.33,17.6,38,1,5.75,US,1612904021
Östersund,63.1792,14.6357,17.6,93,100,3.44,SE,1612904446
Båtsfjord,70.6345,29.7185,17.6,79,75,17.27,NO,1612904526
Bambanglipuro,-7.95,110.2833,77.0,87,100,4.83,ID,1612904527
Aksu,41.1231,80.2644,30.15,86,82,2.93,CN,1612904327
Port-Gentil,-0.7193,8.7815,82.4,89,20,2.3,GA,1612904530
Falam,22.9167,93.6833,47.84,61,0,2.28,MM,1612904531
San Patricio,28.017,-97.5169,80.6,57,75,9.82,US,1612904461
Ponta do Sol,32.6667,-17.1,59.0,64,75,1.01,PT,1612903966
Upington,-28.4478,21.2561,87.8,33,2,8.05,ZA,1612904531
Mitsamiouli,-11.3847,43.2844,82.53,77,98,14.47,KM,1612904535
Gigmoto,13.7796,124.39,73.56,89,100,16.64,PH,1612904536
Baiyin,36.5583,104.2081,21.2,33,0,6.71,CN,1612904538
Abonnema,4.7084,6.7931,82.4,78,75,3.44,NG,1612904539
Jamestown,42.097,-79.2353,23.0,80,90,10.36,US,1612904433
Cherskiy,68.75,161.3,-3.41,84,0,1.83,RU,1612904014
Kita,13.0349,-9.4895,81.41,16,21,4.63,ML,1612904542
Warrnambool,-38.3833,142.4833,60.01,88,0,9.53,AU,1612904543
Olafsvik,64.8945,-23.7142,28.96,94,100,21.3,IS,1612904229
Yatou,37.15,122.3833,35.24,88,1,10.47,CN,1612904545
Arraial do Cabo,-22.9661,-42.0278,73.4,88,90,2.3,BR,1612904323
Saint-Philippe,-21.3585,55.7679,80.6,69,20,12.66,RE,1612904548
Forsytheganj,52.6333,29.7333,8.58,96,87,4.38,BY,1612904549
Thompson,55.7435,-97.8558,-20.2,57,75,9.22,CA,1612904035
Kupang,-10.1667,123.5833,79.57,85,100,8.14,ID,1612904047
Buala,-8.145,159.5921,81.12,83,58,12.15,SB,1612904552
Smithers,54.7804,-127.1743,-4.0,54,40,12.66,CA,1612904554
Torbay,47.6666,-52.7314,34.0,86,90,31.07,CA,1612904555
Saryagash,41.4511,69.1701,46.4,100,90,2.3,KZ,1612904556
Inhambane,-23.865,35.3833,79.16,85,8,11.97,MZ,1612904557
Lüderitz,-26.6481,15.1594,69.85,67,0,12.48,NA,1612903971
NEDJO,9.5046,35.5019,61.84,32,22,4.56,ET,1612904559
Isla Mujeres,21.2311,-86.731,82.4,74,75,4.61,MX,1612904561
Mahébourg,-20.4081,57.7,78.8,78,20,5.75,MU,1612904205
Margate,51.3813,1.3862,33.01,59,99,4.0,GB,1612903991
Kayerkan,69.3497,87.7602,-13.99,89,100,3.74,RU,1612904564
Broken Hill,-31.95,141.4333,71.6,28,0,6.91,AU,1612904005
Puerto Ayora,-0.7393,-90.3518,81.0,89,75,11.5,EC,1612904366
Kunashak,55.7032,61.5498,-11.2,70,0,11.18,RU,1612904567
Daru,-9.0763,143.2092,78.62,87,100,6.26,PG,1612904568
‘Āhuimanu,21.4447,-157.8378,75.2,53,90,18.41,US,1612904570
Adzopé,6.1069,-3.8619,78.48,81,8,4.9,CI,1612904571
Iberia,29.9502,-91.7507,78.8,64,1,2.73,US,1612904573
Mar del Plata,-38.0023,-57.5575,68.0,73,40,17.27,AR,1612904533
Hofn,64.2539,-15.2082,31.78,94,100,10.2,IS,1612904576
São José da Coroa Grande,-8.8978,-35.1478,79.95,69,3,5.73,BR,1612904577
Hailar,49.2,119.7,0.95,93,74,7.52,CN,1612904578
Nuevo Progreso,23.1667,-97.95,82.99,62,73,1.01,MX,1612904579
Bandarbeyla,9.4942,50.8122,75.22,71,97,20.45,SO,1612904580
Kyren,51.6828,102.1408,19.0,89,100,0.6,RU,1612904582
Abu Dhabi,24.4667,54.3667,69.8,88,40,4.61,AE,1612904201
São João da Barra,-21.6403,-41.0511,73.4,94,90,6.91,BR,1612904584
Moose Factory,51.2585,-80.6094,-2.2,50,1,13.8,CA,1612904585
Hithadhoo,-0.6,73.0833,82.49,78,74,10.85,MV,1612904028
Loreto,22.2667,-101.9667,75.29,17,0,7.49,MX,1612904587
Saskylakh,71.9167,114.0833,-24.34,83,0,8.57,RU,1612904588
Lagan,45.3929,47.3707,36.01,92,100,20.4,RU,1612904589
Ambāla,30.3783,76.7808,55.06,58,0,5.91,IN,1612904591
San Fernando del Valle de Catamarca,-28.4696,-65.7852,71.01,93,73,1.01,AR,1612904454
Portland,45.5234,-122.6762,45.0,66,96,1.99,US,1612903965
Greenville,35.6127,-77.3663,68.0,59,1,5.75,US,1612904486
Palmas Bellas,9.2319,-80.0867,86.0,60,0,8.01,PA,1612904595
New Norfolk,-42.7826,147.0587,53.01,66,18,1.68,AU,1612904596
Camocim,-2.9022,-40.8411,76.84,88,100,5.66,BR,1612904597
Hasaki,35.7333,140.8333,33.8,55,20,8.05,JP,1612904023
